"","census_id","muniname.x","statename.x","yr_incorp","muniname.y","statefips","statecode","statename.y","stateabb","countyfips","countycode","countyname","placefips","unitcode","govtype","lat","lon"
"1","22200920100000","CITY OF WATERTOWN TOWN","MASSACHUSETTS",1630,"CITY OF WATERTOWN TOWN","25","22","MASSACHUSETTS","MA","017","009","MIDDLESEX","73440","201",2,42.3699733,-71.1774323
"2","22201110200000","CITY OF WEYMOUTH TOWN","MASSACHUSETTS",1635,"CITY OF WEYMOUTH TOWN","25","22","MASSACHUSETTS","MA","021","011","NORFOLK","78972","102",2,42.2069012,-70.944428
"3","22200120100000","CITY OF BARNSTABLE","MASSACHUSETTS",1638,"CITY OF BARNSTABLE","25","22","MASSACHUSETTS","MA","001","001","BARNSTABLE","03690","201",2,41.6679499,-70.3573273
"4","22201110100000","CITY OF BRAINTREE TOWN","MASSACHUSETTS",1640,"CITY OF BRAINTREE TOWN","25","22","MASSACHUSETTS","MA","021","011","NORFOLK","07740","101",2,42.2038447,-71.0022177
"5","33200100100000","CITY OF ALBANY","NEW YORK",1652,"CITY OF ALBANY","36","33","NEW YORK","NY","001","001","ALBANY","01000","001",2,42.6663959,-73.798682
"6","33203100100000","CITY OF NEW YORK","NEW YORK",1652,"CITY OF NEW YORK","36","33","NEW YORK","NY","061","031","NEW YORK CITY","51000","001",2,40.6625936,-73.9386949
"7","22200510100000","CITY OF AMESBURY","MASSACHUSETTS",1668,"CITY OF AMESBURY","25","22","MASSACHUSETTS","MA","009","005","ESSEX","01260","101",2,42.8529481,-70.9446321
"8","39205100100000","CITY OF PHILADELPHIA","PENNSYLVANIA",1684,"CITY OF PHILADELPHIA","42","39","PENNSYLVANIA","PA","101","051","PHILADELPHIA CITY","60000","001",2,40.007636,-75.1339447
"9","39201500300000","CITY OF COATESVILLE","PENNSYLVANIA",1687,"CITY OF COATESVILLE","42","39","PENNSYLVANIA","PA","029","015","CHESTER","14712","003",2,39.9849148,-75.819824
"10","31200300300000","CITY OF BURLINGTON","NEW JERSEY",1693,"CITY OF BURLINGTON","34","31","NEW JERSEY","NJ","005","003","BURLINGTON","08920","003",2,40.0784541,-74.85236
"11","39202300300000","CITY OF CHESTER","PENNSYLVANIA",1701,"CITY OF CHESTER","42","39","PENNSYLVANIA","PA","045","023","DELAWARE","13208","003",2,39.8456275,-75.3718342
"12","21200200100000","CITY OF ANNAPOLIS","MARYLAND",1708,"CITY OF ANNAPOLIS","24","21","MARYLAND","MD","003","002","ANNE ARUNDEL","01600","001",2,38.9706731,-76.503936
"13","19203500400000","CITY OF NATCHITOCHES","LOUISIANA",1714,"CITY OF NATCHITOCHES","22","19","LOUISIANA","LA","069","035","NATCHITOCHES","53545","004",2,31.7314762,-93.0975146
"14","19204900700000","CITY OF OPELOUSAS","LOUISIANA",1720,"CITY OF OPELOUSAS","22","19","LOUISIANA","LA","097","049","ST LANDRY","58045","007",2,30.5252141,-92.0816209
"15","39200900100000","BOROUGH OF BRISTOL","PENNSYLVANIA",1720,"BOROUGH OF BRISTOL","42","39","PENNSYLVANIA","PA","017","009","BUCKS","08760","001",2,40.1029128,-74.8529694
"16","34202500300000","CITY OF NEW BERN","NORTH CAROLINA",1723,"CITY OF NEW BERN","37","34","NORTH CAROLINA","NC","049","025","CRAVEN","46340","003",2,35.0958847,-77.0721187
"17","22200520100000","CITY OF METHUEN TOWN","MASSACHUSETTS",1725,"CITY OF METHUEN TOWN","25","22","MASSACHUSETTS","MA","009","005","ESSEX","40710","201",2,42.7339839,-71.1888295
"18","47212200100000","CITY OF NORFOLK","VIRGINIA",1736,"CITY OF NORFOLK","51","47","VIRGINIA","VA","710","122","NORFOLK CITY","57000","001",2,36.9233401,-76.2456337
"19","39203600900000","CITY OF LANCASTER","PENNSYLVANIA",1742,"CITY OF LANCASTER","42","39","PENNSYLVANIA","PA","071","036","LANCASTER","41216","009",2,40.0420462,-76.3011918
"20","47212700100000","CITY OF RICHMOND","VIRGINIA",1742,"CITY OF RICHMOND","51","47","VIRGINIA","VA","760","127","RICHMOND CITY","67000","001",2,37.5294423,-77.4755889
