"","statefips","countyfips","total_munis","geoid"
"1","01","001",3,"01001"
"2","01","003",14,"01003"
"3","01","005",6,"01005"
"4","01","007",4,"01007"
"5","01","009",11,"01009"
"6","01","011",2,"01011"
"7","01","013",3,"01013"
"8","01","015",7,"01015"
"9","01","017",6,"01017"
"10","01","019",5,"01019"
"11","01","021",4,"01021"
"12","01","023",7,"01023"
"13","01","025",5,"01025"
"14","01","027",2,"01027"
"15","01","029",4,"01029"
"16","01","031",4,"01031"
"17","01","033",6,"01033"
"18","01","035",3,"01035"
"19","01","037",3,"01037"
"20","01","039",14,"01039"
"21","01","041",6,"01041"
"22","01","043",11,"01043"
"23","01","045",10,"01045"
"24","01","047",3,"01047"
"25","01","049",16,"01049"
"26","01","051",7,"01051"
"27","01","053",6,"01053"
"28","01","055",11,"01055"
"29","01","057",4,"01057"
"30","01","059",5,"01059"
"31","01","061",7,"01061"
"32","01","063",4,"01063"
"33","01","065",4,"01065"
"34","01","067",4,"01067"
"35","01","069",12,"01069"
"36","01","071",13,"01071"
"37","01","073",35,"01073"
"38","01","075",6,"01075"
"39","01","077",7,"01077"
"40","01","079",5,"01079"
"41","01","081",4,"01081"
"42","01","083",5,"01083"
"43","01","085",7,"01085"
"44","01","087",4,"01087"
"45","01","089",6,"01089"
"46","01","091",8,"01091"
"47","01","093",8,"01093"
"48","01","095",7,"01095"
"49","01","097",11,"01097"
"50","01","099",5,"01099"
"51","01","101",2,"01101"
"52","01","103",7,"01103"
"53","01","105",2,"01105"
"54","01","107",8,"01107"
"55","01","109",4,"01109"
"56","01","111",4,"01111"
"57","01","113",2,"01113"
"58","01","115",10,"01115"
"59","01","117",13,"01117"
"60","01","119",7,"01119"
"61","01","121",9,"01121"
"62","01","123",7,"01123"
"63","01","125",7,"01125"
"64","01","127",11,"01127"
"65","01","129",3,"01129"
"66","01","131",5,"01131"
"67","01","133",6,"01133"
"68","02","013",5,"02013"
"69","02","016",5,"02016"
"70","02","020",1,"02020"
"71","02","050",18,"02050"
"72","02","068",1,"02068"
"73","02","070",7,"02070"
"74","02","090",2,"02090"
"75","02","105",5,"02105"
"76","02","110",1,"02110"
"77","02","122",6,"02122"
"78","02","130",2,"02130"
"79","02","150",6,"02150"
"80","02","158",12,"02158"
"81","02","164",6,"02164"
"82","02","170",3,"02170"
"83","02","180",16,"02180"
"84","02","185",7,"02185"
"85","02","188",10,"02188"
"86","02","195",3,"02195"
"87","02","198",8,"02198"
"88","02","220",1,"02220"
"89","02","240",2,"02240"
"90","02","261",3,"02261"
"91","02","275",1,"02275"
"92","02","290",18,"02290"
"93","04","001",3,"04001"
"94","04","003",7,"04003"
"95","04","005",5,"04005"
"96","04","007",6,"04007"
"97","04","009",3,"04009"
"98","04","011",2,"04011"
"99","04","012",2,"04012"
"100","04","013",24,"04013"
"101","04","015",4,"04015"
"102","04","017",6,"04017"
"103","04","019",5,"04019"
"104","04","021",9,"04021"
"105","04","023",2,"04023"
"106","04","025",9,"04025"
"107","04","027",4,"04027"
"108","05","001",6,"05001"
"109","05","003",7,"05003"
"110","05","005",8,"05005"
"111","05","007",19,"05007"
"112","05","009",11,"05009"
"113","05","011",3,"05011"
"114","05","013",4,"05013"
"115","05","015",6,"05015"
"116","05","017",3,"05017"
"117","05","019",7,"05019"
"118","05","021",12,"05021"
"119","05","023",5,"05023"
"120","05","025",2,"05025"
"121","05","027",5,"05027"
"122","05","029",4,"05029"
"123","05","031",10,"05031"
"124","05","033",9,"05033"
"125","05","035",13,"05035"
"126","05","037",4,"05037"
"127","05","039",3,"05039"
"128","05","041",6,"05041"
"129","05","043",5,"05043"
"130","05","045",10,"05045"
"131","05","047",6,"05047"
"132","05","049",3,"05049"
"133","05","051",4,"05051"
"134","05","053",5,"05053"
"135","05","055",5,"05055"
"136","05","057",10,"05057"
"137","05","059",6,"05059"
"138","05","061",4,"05061"
"139","05","063",9,"05063"
"140","05","065",8,"05065"
"141","05","067",11,"05067"
"142","05","069",6,"05069"
"143","05","071",5,"05071"
"144","05","073",4,"05073"
"145","05","075",13,"05075"
"146","05","077",6,"05077"
"147","05","079",3,"05079"
"148","05","081",5,"05081"
"149","05","083",9,"05083"
"150","05","085",10,"05085"
"151","05","087",3,"05087"
"152","05","089",5,"05089"
"153","05","091",3,"05091"
"154","05","093",17,"05093"
"155","05","095",5,"05095"
"156","05","097",4,"05097"
"157","05","099",7,"05099"
"158","05","101",2,"05101"
"159","05","103",6,"05103"
"160","05","105",7,"05105"
"161","05","107",5,"05107"
"162","05","109",5,"05109"
"163","05","111",8,"05111"
"164","05","113",6,"05113"
"165","05","115",6,"05115"
"166","05","117",5,"05117"
"167","05","119",8,"05119"
"168","05","121",6,"05121"
"169","05","123",8,"05123"
"170","05","125",6,"05125"
"171","05","127",1,"05127"
"172","05","129",5,"05129"
"173","05","131",11,"05131"
"174","05","133",5,"05133"
"175","05","135",8,"05135"
"176","05","137",2,"05137"
"177","05","139",8,"05139"
"178","05","141",4,"05141"
"179","05","143",13,"05143"
"180","05","145",16,"05145"
"181","05","147",5,"05147"
"182","05","149",7,"05149"
"183","06","001",14,"06001"
"184","06","005",5,"06005"
"185","06","007",5,"06007"
"186","06","009",1,"06009"
"187","06","011",2,"06011"
"188","06","013",19,"06013"
"189","06","015",1,"06015"
"190","06","017",2,"06017"
"191","06","019",15,"06019"
"192","06","021",2,"06021"
"193","06","023",7,"06023"
"194","06","025",7,"06025"
"195","06","027",1,"06027"
"196","06","029",11,"06029"
"197","06","031",4,"06031"
"198","06","033",2,"06033"
"199","06","035",1,"06035"
"200","06","037",88,"06037"
"201","06","039",2,"06039"
"202","06","041",11,"06041"
"203","06","045",4,"06045"
"204","06","047",6,"06047"
"205","06","049",1,"06049"
"206","06","051",1,"06051"
"207","06","053",12,"06053"
"208","06","055",5,"06055"
"209","06","057",3,"06057"
"210","06","059",34,"06059"
"211","06","061",6,"06061"
"212","06","063",1,"06063"
"213","06","065",28,"06065"
"214","06","067",7,"06067"
"215","06","069",2,"06069"
"216","06","071",24,"06071"
"217","06","073",18,"06073"
"218","06","075",1,"06075"
"219","06","077",7,"06077"
"220","06","079",7,"06079"
"221","06","081",20,"06081"
"222","06","083",8,"06083"
"223","06","085",15,"06085"
"224","06","087",4,"06087"
"225","06","089",3,"06089"
"226","06","091",1,"06091"
"227","06","093",9,"06093"
"228","06","095",7,"06095"
"229","06","097",9,"06097"
"230","06","099",9,"06099"
"231","06","101",2,"06101"
"232","06","103",3,"06103"
"233","06","107",8,"06107"
"234","06","109",1,"06109"
"235","06","111",10,"06111"
"236","06","113",4,"06113"
"237","06","115",2,"06115"
"238","08","001",7,"08001"
"239","08","003",2,"08003"
"240","08","005",12,"08005"
"241","08","007",1,"08007"
"242","08","009",6,"08009"
"243","08","011",1,"08011"
"244","08","013",9,"08013"
"245","08","014",1,"08014"
"246","08","015",3,"08015"
"247","08","017",2,"08017"
"248","08","019",4,"08019"
"249","08","021",5,"08021"
"250","08","023",2,"08023"
"251","08","025",4,"08025"
"252","08","027",2,"08027"
"253","08","029",6,"08029"
"254","08","031",1,"08031"
"255","08","033",2,"08033"
"256","08","035",5,"08035"
"257","08","037",7,"08037"
"258","08","039",3,"08039"
"259","08","041",8,"08041"
"260","08","043",6,"08043"
"261","08","045",6,"08045"
"262","08","047",2,"08047"
"263","08","049",6,"08049"
"264","08","051",5,"08051"
"265","08","053",1,"08053"
"266","08","055",2,"08055"
"267","08","057",1,"08057"
"268","08","059",8,"08059"
"269","08","061",3,"08061"
"270","08","063",6,"08063"
"271","08","065",1,"08065"
